#,Nodes,,,,,,,,,,,,,,,,,,
#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,…]]],,
N,Movimiento de Acción Nacional «MAN»,#2b285c,Comité de Organización Política Electoral Independiente «COPEI»,1960.5.15,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Opinión Nacional «OPINA»,#9A7628,,1962.3.13,,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,AD-Oposición,#D8C342,Acción Democrática «AD»,1962.1.12,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Partido Revolucionario de Integración Nacionalista «PRIN»,1964.2.23,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Partido Revolucionario Nacionalista «PRN»,1965.2,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,
N,Fuerza Democrática Popular «FDP»,#1C5F9B,Movimiento de Izquierda Revolucionaria «MIR»,1962.8.20,1993.12.5,,https://es.wikipedia.org/wiki/Fuerza_Democr%C3%A1tica_Popular,,,,,,,,,,,,
N,Independientes Pro Frente Nacional «IPFN»,#fcd680,,1963.9,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Frente Nacional Democrático «FND»,1964.2.24,http://bibliofep.fundacionempresaspolar.org/_custom/static/cronologia_hv/zoom/s20-2/1964-4.html,,,,,,,,,
N,Cruzada Cívica Nacionalista «CCN»,#D8B574,,1965.10.23,2005.12.4,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Vanguardia Popular Nacionalista «VPN»,#C4E0E3,Unión Republicana Democrática «URD»,1964.2.28,1966,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido de la Revolución Venezolana «PRV»,#DF0500,Partido Revolucionario Venezolano «PRV»,1966.4.23,1993,,https://es.wikipedia.org/wiki/Partido_de_la_Revoluci%C3%B3n_Venezolana,,,,,,,,,,,,
N,Movimiento Demócrata Independiente «MDI»,#EC6710,Unión Republicana Democrática «URD»,1966.5,1978.12.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento Electoral del Pueblo «MEP»,#5F008E,Acción Democrática «AD»,1967.12.10,,,https://es.wikipedia.org/wiki/Movimiento_Electoral_del_Pueblo,,,,,,,,,,,,
N,Liga Socialista «LS»,#A32322,Movimiento de Izquierda Revolucionaria «MIR»,1973.11.19,2008.3.14,,http://vtv.mippci.gob.ve/efemerides-hace-45-anos-se-funda-la-liga-socialista/,,,,,,,,,,,,
N,Bandera Roja «BR»,#FF0000,Movimiento de Izquierda Revolucionaria «MIR»,1970.1.20,,,https://es.wikipedia.org/wiki/Bandera_Roja_(partido_pol%C3%ADtico_de_Venezuela),,,,,,,,,,,,
N,Movimiento al Socialismo «MAS»,#FF6600,Partido Revolucionario Venezolano «PRV»,1971.1.14,,,http://historico.prodavinci.com/blogs/mucho-antes-de-nacer-la-causa-r-el-cojo-lira-ya-era-super-cojonudo-por-victor-suarez/,,,,,,,,,,,,
N,La Causa Radical «LCR»,#F7EE42,Movimiento al Socialismo «MAS»,1971.1.14,,,http://historico.prodavinci.com/blogs/mucho-antes-de-nacer-la-causa-r-el-cojo-lira-ya-era-super-cojonudo-por-victor-suarez/,,,,,,,,,,,,
N,Nuevo Orden «NOR»,#000000,,1974.1.12,2003,,https://es.wikipedia.org/wiki/Nuevo_Orden_(Venezuela),,,,,,,,,,,,
N,Movimiento Integración Nacional «MIN»,#00B8DE,Acción Democrática «AD»,1977.7.16,,,https://es.wikipedia.org/wiki/Movimiento_de_Integridad_Nacional-Unidad,Movimiento de Integridad Nacional-Unidad «MIN-UNIDAD»,2005,https://es.wikipedia.org/wiki/Movimiento_de_Integridad_Nacional-Unidad,,,,,,,,,
N,Movimiento Republicano Nacional «MRN»,#DD371F,Unión Republicana Democrática «URD»,1978,1998.12.6,,https://es.wikipedia.org/wiki/Partidos_pol%C3%ADticos_de_Venezuela,,,,,,,,,,,,
N,Vanguardia Comunista «VC»,#e13f3e,Partido Revolucionario Venezolano «PRV»,1974.5,1983.12.4,,http://bibliofep.fundacionempresaspolar.org/_custom/static/cronologia_hv/zoom/s20-10/1974-12.html,Vanguardia Unitaria Comunista «VUC»,1978,https://es.wikipedia.org/wiki/Pol%C3%ADtica_de_Venezuela,,,,,,,,,
N,Tendencias Unificadas Para Alcanzar el Movimiento de Acción Revolucionaria Organizada «TUPAMARO»,#FF0000,,2004.10.22,,,http://www.poderopedia.org/ve/organizaciones/Tupamaros,,,,,,,,,,,,
N,Nueva Generación Democrática «NGD»,#cdf736,,1979,2000.7.30,,https://es.wikipedia.org/wiki/Nueva_Generaci%C3%B3n_Democr%C3%A1tica,,,,,,,,,,,,
N,Organización Renovadora Auténtica «ORA»,#000000,,1986.3,,,http://cic1.ucab.edu.ve/cic/php/buscar_1reg.php?Opcion=leerregistro&Formato=w&base=imber&cipar=imber.par&Mfn=4587,,,,,,,,,,,,
N,Consejo Nacional Indio de Venezuela «CONIVE»,#BCE0B5,,1989.8.31,,,https://www.aporrea.org/actualidad/a262571.html,,,,,,,,,,,,
N,Gente Emergente «GE»,#207EE0,,1991.6.22,,,https://es.wikipedia.org/wiki/Gente_Emergente_(Venezuela)  ,,,,,,,,,,,,
N,Convergencia,#CD740E,Comité de Organización Política Electoral Independiente «COPEI»,1993.6.5,,,https://es.wikipedia.org/wiki/Convergencia_(Venezuela),,,,,,,,,,,,
N,Independientes por la Comunidad Nacional «IPCN»,#B11E2B,,1995.9.15,,,http://www.minci.gob.ve/wp-content/uploads/2015/09/Capurro-Septiembre-02.pdf,,,,,,,,,,,,
N,Solidaridad Independiente «SI»,#FFFF01,,1996.10.31,,,https://es.wikipedia.org/wiki/Solidaridad_Independiente,,,,,,,,,,,,
N,Movimiento Republicano «MR»,#005DCD,,1995.8.23,,,http://www.movimientorepublicano.org/quienes-somos/,,,,,,,,,,,,
N,Movimiento Apertura «Apertura»,#2AB1EB,Acción Democrática «AD»,1997.3.20,,,https://es.wikipedia.org/wiki/Movimiento_Apertura_(Venezuela),,,,,,,,,,,,
N,Patria Para Todos «PPT»,#0536BF,La Causa Radical «LCR»,1997.9.27,,,https://es.wikipedia.org/wiki/Patria_Para_Todos,,,,,,,,,,,,
N,Movimiento V República «MVR»,#FFFF37,,1997.10.21,2008.3.14,,https://es.wikipedia.org/wiki/Movimiento_V_Rep%C3%BAblica,,,,,,,,,,,,
N,Movimiento Independiente Ganamos Todos «MIGATO»,#009DFE,,1997,,,https://es.wikipedia.org/wiki/Movimiento_Independiente_Ganamos_Todos,,,,,,,,,,,,
N,Proyecto Carabobo,#FFFF00,Comité de Organización Política Electoral Independiente «COPEI»,1995.9.19,,,https://www.el-carabobeno.com/proyecto-venezuela-celebro-su-aniversario-no-22-con-mensaje-de-henrique-salas/,Proyecto Venezuela «PRVZL»,1998,https://es.wikipedia.org/wiki/Proyecto_Venezuela,,,,,,,,,
N,Renovación,#2F2F2F,Acción Democrática «AD»,1998,,,https://es.wikipedia.org/wiki/Claudio_Ferm%C3%ADn,Encuentro Nacional,2000,https://es.wikipedia.org/wiki/Claudio_Ferm%C3%ADn,,,,,,,,,
N,Izquierda Democrática «IZD»,#F5D1D6,Movimiento al Socialismo «MAS»,1999.2.1,2007.1,,https://es.wikipedia.org/wiki/Izquierda_Democr%C3%A1tica_(Venezuela),,,,,,,,,,,,
N,Un Nuevo Tiempo «UNT»,#1453A6,Acción Democrática «AD»,1999,,,https://es.wikipedia.org/wiki/Un_Nuevo_Tiempo,,2007.3.3,http://www.2001.com.ve/la-nacion/un-nuevo-tiempo-celebro-su-sexto-aniversario.html,,,,,,,,,
N,Alianza Bravo Pueblo «ABP»,#485EA1,Acción Democrática «AD»,2000.12.11,,,https://twitter.com/alcidespadilla/status/1072417866245390336,,,,,,,,,,,,
N,Grupo Socialdemócrata «GSD»,#77908b,Alianza Bravo Pueblo «ABP»,2001,2005.3,,https://es.wikipedia.org/wiki/Alianza_Bravo_Pueblo,,,,,,,,,,,,
N,Corrientes Revolucionarias Venezolanas «CRV»,#C7422C,,1999.12,,,http://www.ramses.epizy.com/sample-page/?i=1,,,,,,,,,,,,
N,Primero Justicia «PJ»,#F4D96E,Comité de Organización Política Electoral Independiente «COPEI»,2000.3.2,,,https://twitter.com/pr1merojusticia/status/969568003405709312,,,,,,,,,,,,
N,Movimiento por la Democracia Directa «MDD»,#E2718B,,2000.4,2008.3.14,,https://es.wikipedia.org/wiki/Movimiento_por_la_Democracia_Directa,,,,,,,,,,,,
N,Unión para el Progreso «UNION»,#DB9272,,2001.5.19,2008.3.14,,http://caracol.com.co/radio/2001/05/19/nacional/0990252000_027808.html,,,,,,,,,,,,
N,Solidaridad,#6464B3,Movimiento V República «MVR»,2001.12,,,https://www.analitica.com/actualidad/actualidad-nacional/presidente-de-la-an-desconoce-salida-de-alejandro-armas-del-ctn-del-mvr/,,,,,,,,,,,,
N,Izquierda Unida «IU»,#D3201C,Movimiento al Socialismo «MAS»,2002,,,https://es.wikipedia.org/wiki/Izquierda_Unida_(Venezuela),,,,,,,,,,,,
N,Movimiento Laborista «ML»,#8D4925,,2002,,,https://es.wikipedia.org/wiki/Movimiento_Laborista_(Venezuela),,,,,,,,,,,,
N,Por la Democracia Social «PODEMOS»,#961014,Movimiento al Socialismo «MAS»,2002.3.22,,,https://es.wikipedia.org/wiki/Por_la_Democracia_Social,,,,,,,,,,,,
N,Visión Emergente «VE»,#825854,,2002,2010.1.16,,https://es.wikipedia.org/wiki/Visi%C3%B3n_Emergente,,,,,,,,,,,,
N,Unidad Patriótica de Carabobo «UPC»,#BAAD5F,,2002.11,,,https://es.wikipedia.org/wiki/Unidad_Patri%C3%B3tica_Comunitaria,Unidad Patriótica Comunitaria «UPC»,2006.1.14,https://es.wikipedia.org/wiki/Unidad_Patri%C3%B3tica_Comunitaria,,,,,,,,,
N,Un Solo Pueblo «USP»,#FDB120,,2002.7.26,,,https://es.wikipedia.org/wiki/Un_Solo_Pueblo,,,,,,,,,,,,
N,Movimiento de Concentración Gente Nueva «MCGN»,#792D2F,,2003.2,,,https://es.wikipedia.org/wiki/Organizados_para_Gobernar,Organizados para Gobernar «OPG» ,2013,https://es.wikipedia.org/wiki/Organizados_para_Gobernar,,,,,,,,,
N,Vamos,#2c49a3,Por la Democracia Social «PODEMOS»,2003.6.14,2005.3,,https://es.wikipedia.org/wiki/Rafael_Sim%C3%B3n_Jim%C3%A9nez,,,,,,,,,,,,
N,Fuerza Ciudadana «FC»,#FFFE12,Acción Democrática «AD»,2003.3.11,,,https://es.wikipedia.org/wiki/Fuerza_Ciudadana_(Venezuela),,,,,,,,,,,,
N,Fuerza Liberal «FL»,#011750,,2004.3.22,,,http://www.poderopedia.org/ve/organizaciones/Fuerza_Liberal,,,,,,,,,,,,
N,Movimiento Cívico Militante «MCM»,#CC0001,,2004.9,2008.3.14,,https://es.wikipedia.org/wiki/Movimiento_C%C3%ADvico_Militante,,,,,,,,,,,,
N,Unidad Popular Venezolana «UPV»,#4B0102,Movimiento V República «MVR»,2004.2.6,,,https://es.wikipedia.org/wiki/Unidad_Popular_Venezolana,,,,,,,,,,,,
N,Poder Laboral «PL»,#9A7E2A,,2005.10,,,http://www.correodelorinoco.gob.ve/oposicion-hace-falta-%E2%80%9Cmenos-viveza-y-menos-astucia-y-mayor-madurez%E2%80%9D/,,,,,,,,,,,,
N,Movimiento Ecológico de Venezuela «MOVEV»,#68B92E,,2008.2,,,https://es.wikipedia.org/wiki/Movimiento_Ecol%C3%B3gico_de_Venezuela,,,,,,,,,,,,
N,Polo Democrático «PD»,#FFAE50,Acción Democrática «AD»,2005.3.12,2007.1.4,,https://es.wikipedia.org/wiki/Polo_Democr%C3%A1tico_(Venezuela),,,,,,,,,,,,
N,Visión Venezuela «VISION»,#E21E29,,2005,,,https://es.wikipedia.org/wiki/Unidad_Visi%C3%B3n_Venezuela,Unidad Visión Venezuela «UVV»,2012.7,https://es.wikipedia.org/wiki/Unidad_Visi%C3%B3n_Venezuela,,,,,,,,,
N,Unidad de Vencedores Electorales «UVE»,#A192B6,,2005.4.14,,,http://resultados.cne.gov.ve/web/sala_prensa/noticia_detallada.php?id=1169,,,,,,,,,,,,
N,Venezuela de Primera,#AFE1FC,,2005.9,2010.11.9,,http://www.cne.gob.ve,,,,,,,,,,,,
N,Alianza Popular,#182D79,Comité de Organización Política Electoral Independiente «COPEI»,2005.5.11,,,https://es.wikipedia.org/wiki/Movimiento_Popular_(Venezuela),Movimiento Popular «MP»,2010,https://es.wikipedia.org/wiki/Movimiento_Popular_(Venezuela),,,,,,,,,
N,Nueva Alianza Progresista «NAPO»,#EF8124,,2006.5,,,http://sgg.carabobo.gob.ve/gaceta/GACETAOFICIALNo2071.pdf,,,,,,,,,,,,
N,Partido Socialista Organizado en Venezuela «PSOEV»,#B61C36,,2006.7.11,,,https://es.wikipedia.org/wiki/Partido_Socialista_Organizado_en_Venezuela,,,,,,,,,,,,
N,Partido Independiente Electoral Democrático Respuesta Avanzada «PIEDRA»,#900020,,2006.8,2012.12.16,,http://www4.cne.gob.ve/web/sala_prensa/noticia_detallada.php?id=966,Piensa en Democracia «PIEDRA»,2008.8.7,https://es.wikipedia.org/wiki/Piensa_en_Democracia,,,,,,,,,
N,Clase Media Revolucionaria «CMR»,#F7E360,,2006.8.7,2008.3.14,,https://es.wikipedia.org/wiki/Clase_Media_Revolucionaria,,,,,,,,,,,,
N,Partido Socialista Unido de Venezuela «PSUV»,#FF0000,Movimiento V República «MVR»,2008.3.14,,,https://es.wikipedia.org/wiki/Partido_Socialista_Unido_de_Venezuela,,,,,,,,,,,,
N,Cuentas Claras «CC»,#86C919,,2008.5.27,,,http://www4.cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=427,,,,,,,,,,,,
N,Unidad Socialista de Izquierda,#98572F,,2008.4.26,,,https://www.aporrea.org/actualidad/n113149.html,Partido Socialismo y Libertad «PSL»,2012.6,http://www.uit-ci.org/index.php/nosotros/donde-encontrarnos/venezuela,,,,,,,,,
N,Nuevo Camino Revolucionario «NCR»,#62187C,Partido Socialista Unido de Venezuela «PSUV»,2008.5.6,,,https://es.wikipedia.org/wiki/Movimiento_Somos_Venezuela,Movimiento Somos Venezuela «MSV»,2018.1.29,https://es.wikipedia.org/wiki/Movimiento_Somos_Venezuela,,,,,,,,,
N,Unidos para Venezuela «UNPARVE»,#D48245,,2008.9.12,,,https://es.wikipedia.org/wiki/Unidos_para_Venezuela,,,,,,,,,,,,
N,Frente Popular Humanista,#AE2984,,2009.1.14,,,https://es.wikipedia.org/wiki/Frente_Popular_Humanista,,,,,,,,,,,,
N,Voluntad Popular «VP»,#F78F1E,Un Nuevo Tiempo «UNT»,2009.12.5,,,https://es.wikipedia.org/wiki/Voluntad_Popular,,,,,,,,,,,,
N,Vanguardia Bicentenaria Republicana «VBR»,#BD0001,Partido Socialista Unido de Venezuela «PSUV»,2011.10.27,,,https://es.wikipedia.org/wiki/Vanguardia_Bicentenaria_Republicana,,,,,,,,,,,,
N,Partido Democrático Unidos por la Paz y la Libertad «PDUPL»,#E356FD,,2012.2,,,https://es.wikipedia.org/wiki/Mar%C3%ADa_Bol%C3%ADvar,,,,,,,,,,,,
N,Partido Revolucionario del Trabajo «PRT»,#82858E,,2011,,,https://vozinsurgente.wordpress.com/2015/08/31/partido-revolucionario-del-trabajo-nuestra-posicion-ante-la-coyuntura-electoral/,,,,,,,,,,,,
N,Redes de Respuesta de Cambios Comunitarios «REDES»,#E40613,,2012.7.18,,,http://www.wikiwand.com/es/Redes_de_Respuesta_de_Cambios_Comunitarios,,,,,,,,,,,,
N,"Movimiento Venezuela Responsable, Emprendedora y Sostenible «MOVERSE»",#2C9202,,2012.6.4,,,"https://es.wikipedia.org/wiki/Movimiento_Venezuela_Responsable,_Emprendedora_y_Sostenible",,,,,,,,,,,,
N,Monagas Patriota,#396727,Partido Socialista Unido de Venezuela «PSUV»,2012.3.22,,,http://www.eluniversal.com/nacional-y-politica/120322/nace-la-fraccion-monagas-patriota-en-la-an,,,,,,,,,,,,
N,Vente Venezuela «VV»,#00B5EA,,2012.5.24,,,https://es.wikipedia.org/wiki/Vente_Venezuela,,,,,,,,,,,,
N,Movimiento Progresista de Venezuela «MPV»,#0B4370,Patria Para Todos «PPT»,2012.6.25,,,https://es.wikipedia.org/wiki/Movimiento_Progresista_de_Venezuela,,,,,,,,,,,,
N,Avanzada Progresista «AP»,#094579,Patria Para Todos «PPT»,2012.6.27,,,https://es.wikipedia.org/wiki/Avanzada_Progresista,,,,,,,,,,,,
N,Nueva Visión para mi País «NUVIPA»,#2B7F7E,,2012.7.18,,,https://es.wikipedia.org/wiki/Nueva_Visi%C3%B3n_para_mi_Pa%C3%ADs,,,,,,,,,,,,
N,Unidad Política Popular 89 «UPP89»,#FC7313,Movimiento Electoral del Pueblo «MEP»,2013.12,,,http://www.ultimasnoticias.com.ve/noticias/sin-categoria/upp-89-nuevo-partido-politico/,,,,,,,,,,,,
N,Independientes Por el Progreso «IPP»,#FB5933,,2014.5.27,,,http://cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?tg=1&num_gac=712,Generación Independiente «GENTE»,2018.2.23,http://gente4gcaracas.blogspot.com/2018/02/ya-oficialmente-somos-generacion.html,,,,,,,,,
N,Progreso,#F26424,,2013,,,http://www.noticias-ahora.com/miguel-cocchiola-es-el-nuevo-alcalde-de-valencia/,,,,,,,,,,,,
N,Movimiento Político Alianza para el Cambio «MPAPC»,#C1086D,,2013.8.1,,,https://es.wikipedia.org/wiki/Alianza_para_el_Cambio_(Venezuela),,,,,,,,,,,,
N,Marea Socialista «MS»,#003E81,Partido Socialista Unido de Venezuela «PSUV»,2015.5.6,,,http://www.correodelorinoco.gob.ve/marea-socialista-va-por-su-cuenta-a-an-pero-no-abandona-su-apoyo-a-maduro/,,,,,,,,,,,,
N,Partido Unión y Entendimiento «PUENTE»,#00A8E3,,2015.9.23,,,http://cne.gov.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?tg=1&num_gac=775,,,,,,,,,,,,
N,Integración y Renovación Nueva Esperanza «IRENE»,#0D8C61,,1998,2000.5.19,,https://es.wikipedia.org/wiki/Irene_S%C3%A1ez,,,,,,,,,,,,
N,Unión Popular Venezolana «UPV»,#42474D,Partido Revolucionario Venezolano «PRV»,1944.3.13,1946.12,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Partido Comunista Venezolano Unitario «PCVU»,1946.2.17,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Unión Liberal «UL»,#444A58,,1941.9.24,1947.12,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=10&cad=rja&uact=8&ved=2ahUKEwiS2b_-uLTfAhWqs1kKHf9SBRgQFjAJegQICBAC&url=http%3A%2F%2Fvirtual.urbe.edu%2Flibrotexto%2F080_987_CON_40%2Findice.pdf&usg=AOvVaw3JvvK2i24Wd9KpF5PEB9oh,,,,,,,,,,,,
N,Federación de Estudiantes de Venezuela «FEV-OP»,#634a9e,Federación de Estudiantes de Venezuela «FEV»,1936.9.26,1937.2.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Unión Nacional Republicana «UNR»,#B7D3C4,,1936.1.31,1940.9.30,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Frente Nacional de Trabajadores «FNT»,#f81a9f,,1936.6.18,1937.2.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Frente Obrero,#41e8ee,,1936.7,1937.2.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Unión Nacional Estudiantil «UNE»,#16c876,Federación de Estudiantes de Venezuela «FEV»,1936.5.6,1945.10.19,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Demócrata Venezolano «PDV»,#fec8f2,,1937.12.27,1938.3.28,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Republicano Democrático «PRD»,#ecfa2d,,1936.2.10,1937.2.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Electores Libres «EL»,#499690,,1995,,,http://www.diariocaribazo.net/noticia.php?id=7638,,,,,,,,,,,,
N,Partido Antipersonalista de Venezuela,#ed8f04,,1936.2.12,1937.2.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Liberal,#FFD700,,1936.3.28,1936.10.13,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Liberal Anticomunista,#ecc23b,,1936.5,1936.7.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Gran Partido Liberal,#FFF600,Partido Liberal,1936.10.13,1940.9.30,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Liberal Amarillo Histórico,#FFFF00,,1936.7.16,1940.9.30,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Bloque Unión,#c5f587,,1936.6.22,1940.9.30,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Bloque de Avance Nacional «BAN»,#0f1e14,,1936.6,1940.9.30,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Liga de Defensa Nacional,#4f0f12,Unión Nacional Estudiantil «UNE»,1936.9.19,1940.9.30,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
